,Date,Open,High,Low,Close*,Adj Close**,Volume
4638,"Nov 07, 2002",80.00,80.00,78.32,78.95,50.26,11036800
4639,"Nov 06, 2002",80.80,81.88,80.05,81.54,51.90,10480800
4640,"Nov 06, 2002",0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend,0.15 Dividend
4641,"Nov 05, 2002",81.75,82.01,80.47,81.68,51.90,10466700
4642,"Nov 04, 2002",81.99,83.81,81.70,82.50,52.42,12006000
4643,"Nov 01, 2002",78.90,80.50,78.32,80.40,51.08,9395200
4644,"Oct 31, 2002",78.67,79.79,78.50,78.94,50.16,9864300
4645,"Oct 30, 2002",77.00,79.40,76.02,78.67,49.99,12865800
4646,"Oct 29, 2002",76.56,77.05,74.20,76.74,48.76,11455200
4647,"Oct 28, 2002",75.15,77.50,74.56,76.56,48.64,12544900
4648,"Oct 25, 2002",72.50,74.62,72.16,74.56,47.37,7514200
4649,"Oct 24, 2002",75.50,75.55,71.75,72.10,45.81,10524000
4650,"Oct 23, 2002",74.40,74.97,72.46,74.60,47.40,12441900
4651,"Oct 22, 2002",74.50,75.68,73.62,74.49,47.33,10371500
4652,"Oct 21, 2002",73.65,75.90,72.94,75.55,48.00,10875700
4653,"Oct 18, 2002",71.73,74.25,70.26,74.25,47.18,12482900
4654,"Oct 17, 2002",72.80,73.00,71.23,72.20,45.87,21344600
4655,"Oct 16, 2002",66.60,67.00,64.24,64.90,41.24,15900200
4656,"Oct 15, 2002",67.75,68.48,66.58,68.48,43.51,14600200
4657,"Oct 14, 2002",61.54,63.80,61.54,63.42,40.30,7925300
4658,"Oct 11, 2002",62.00,63.92,61.50,63.92,40.61,17853800
4659,"Oct 10, 2002",54.65,58.48,54.01,57.58,36.59,12670600
4660,"Oct 09, 2002",56.05,56.70,54.81,55.07,34.99,12156000
4661,"Oct 08, 2002",57.78,58.09,54.80,57.05,36.25,14744500
4662,"Oct 07, 2002",56.60,58.50,56.60,56.86,36.13,9641600
4663,"Oct 04, 2002",59.50,59.51,55.77,56.60,35.96,14551900
4664,"Oct 03, 2002",60.30,61.16,58.95,60.00,38.12,11001100
4665,"Oct 02, 2002",61.18,62.00,58.35,59.63,37.89,10653300
4666,"Oct 01, 2002",59.20,61.98,58.99,61.17,38.87,11642800
4667,"Sep 30, 2002",59.55,59.89,57.99,58.31,37.05,13020100
4668,"Sep 27, 2002",61.43,63.49,60.31,60.36,38.35,8793100
4669,"Sep 26, 2002",64.20,64.88,61.33,62.02,39.41,12368800
4670,"Sep 25, 2002",61.20,63.77,60.99,63.01,40.04,13119200
4671,"Sep 24, 2002",61.08,63.30,59.55,59.75,37.96,16710100
4672,"Sep 23, 2002",63.75,63.75,62.37,63.37,40.26,8377100
4673,"Sep 20, 2002",65.40,65.40,63.90,63.92,40.61,14195200
4674,"Sep 19, 2002",64.80,66.48,64.65,64.80,41.17,22034900
4675,"Sep 18, 2002",70.65,70.90,68.86,69.55,44.19,12712700
4676,"Sep 17, 2002",73.00,73.45,71.35,71.75,45.59,6195100
4677,"Sep 16, 2002",72.00,72.72,71.23,72.32,45.95,4595200
4678,"Sep 13, 2002",71.50,72.88,71.31,72.50,46.06,5949600
4679,"Sep 12, 2002",74.05,74.05,71.64,71.87,45.66,6707400
4680,"Sep 11, 2002",76.40,77.50,74.06,74.20,47.14,5394400
4681,"Sep 10, 2002",74.60,75.60,73.85,75.60,48.03,5538300
4682,"Sep 09, 2002",72.45,74.98,71.85,74.50,47.34,5785000
4683,"Sep 06, 2002",73.75,73.99,73.07,73.20,46.51,4586500
4684,"Sep 05, 2002",72.74,72.85,71.50,72.18,45.86,6467700
4685,"Sep 04, 2002",72.35,73.99,71.60,73.73,46.85,6264600
4686,"Sep 03, 2002",74.20,75.00,72.30,72.35,45.97,6849400
4687,"Aug 30, 2002",75.55,76.35,75.10,75.38,47.89,5002500
4688,"Aug 29, 2002",75.60,77.35,75.15,76.62,48.68,5857400
4689,"Aug 28, 2002",76.00,77.01,75.67,76.06,48.33,6590300
4690,"Aug 27, 2002",80.40,80.44,77.30,77.96,49.53,7087800
4691,"Aug 26, 2002",80.40,80.89,77.80,79.42,50.46,6997800
4692,"Aug 23, 2002",81.20,81.48,79.35,80.40,51.08,5908900
4693,"Aug 22, 2002",80.95,82.45,80.20,81.99,52.09,5446600
4694,"Aug 21, 2002",81.90,82.33,79.55,81.00,51.47,7768600
4695,"Aug 20, 2002",81.56,82.00,80.18,81.27,51.64,7671000
4696,"Aug 19, 2002",79.35,82.85,79.01,82.49,52.41,10803900
4697,"Aug 16, 2002",76.50,79.98,75.98,79.35,50.42,11645800
4698,"Aug 15, 2002",75.40,76.71,74.60,76.50,48.61,9267300
4699,"Aug 14, 2002",71.95,75.02,71.35,74.92,47.60,8353000
4700,"Aug 13, 2002",71.55,73.80,71.19,71.90,45.68,8014700
